# Directed graph (each unordered pair of nodes is saved once): CA-GrQc.txt 
# Collaboration network of Arxiv General Relativity category (there is an edge if authors coauthored at least one paper)
# Nodes: ? Edges: ?
# FromNodeId	ToNodeId
3466	937
3466	5233
3466	8579
5052	899
5052	1796
5052	2287
5052	3096
5052	3386
5052	4472
5052	5346
5052	5740
5052	6094
5052	6376
5052	9124
5346	1658
5346	4822
5346	5052
5346	6864
5346	7689
5346	7926
5346	9124
8612	615
8612	743
8612	2076
8612	4515
8612	5773
8612	9482
2710	62
2710	106
2710	260
2710	2959
2710	3677
2710	4708
2710	5172
2710	5541
2710	5794
2710	5807
2710	6575
2710	8458
4846	676
4846	824
4846	2133
4846	2654
4846	4748
4846	5672
4846	6610
4846	6700
4846	7350
824	676
824	2133
824	4846
824	6610
824	6700
2133	824
2133	4846
2133	6610
2133	6700
6610	45
6610	46
6610	570
6610	773
6610	824
6610	1653
6610	2133
6610	2212
6610	2741
6610	2952
6610	3372
6610	4046
6610	4164
6610	4511
6610	4513
6610	4846
6610	5262
6610	6179
6610	6700
6610	6830
6610	7956
6610	8045
6610	8879
6610	9639
6610	9785
6700	339
6700	624
6700	824
6700	934
6700	2133
6700	2654
6700	4743
6700	4846
6700	5579
6700	6610
6700	9755
3872	5109
3872	7533
8862	78
8862	4877
8862	7459
8862	8254
8254	78
8254	2465
8254	2592
8254	3977
8254	5055
8254	5993
8254	8862
8254	9265
7893	593
7893	4515
7893	5510
7893	9360
4515	615
4515	7893
4515	8612
8978	9017
9017	2255
9017	3056
9017	6158
9017	7307
9017	7324
9017	8365
9017	8978
9017	9023
7510	197
7510	8851
8851	197
8851	1343
8851	2991
8851	7510
8851	8299
624	1254
624	2654
624	3420
624	3731
624	4743
624	5407
624	6700
624	9099
2654	339
2654	624
2654	2250
2654	3243
2654	3420
2654	3890
2654	4743
2654	4748
2654	4846
2654	5621
2654	6700
2654	7717
2654	7985
2654	9755
3937	3927
3937	4743
3937	9522
2980	231
2980	345
2980	1186
2980	1841
2980	2741
2980	3409
2980	5578
2980	6774
2980	8503
2980	9482
9522	3937
9522	8710
9522	9572
9572	1375
9572	2846
9572	5555
9572	5564
9572	5787
9572	5993
9572	7459
9572	7689
9572	7712
9572	8916
9572	9522
9572	9721
3441	1172
3441	5674
7188	896
7188	921
7188	1508
7188	6815
7188	7209
7188	8279
4870	5175
4870	8282
5175	2449
5175	4766
5175	4870
5175	8282
8282	4870
8282	5175
8157	2120
2120	8157
8701	523
8701	570
8701	2991
8701	5464
8701	7774
6858	8148
8148	6858
9360	7893
9755	339
9755	1653
9755	1832
9755	2250
9755	2654
9755	4383
9755	4743
9755	4748
9755	5621
9755	6700
9755	7014
9755	7717
9755	9397
9755	9482
3420	624
3420	2654
3420	9241
7442	2620
7442	3032
7442	3096
7442	3679
7442	4364
7442	4550
7442	5712
7442	7768
7768	1116
7768	3032
7768	7442
4624	5355
4624	6863
4624	7689
3345	3430
3345	5266
3345	5995
3345	7999
3345	8047
3345	8178
3345	8868
3345	9710
8868	3345
3032	339
3032	5840
3032	6732
3032	7442
3032	7768
3032	8614
4700	5606
4700	9124
9124	1310
9124	1386
9124	1658
9124	1738
9124	2566
9124	2720
9124	4700
9124	5052
9124	5346
9124	5606
9124	5634
9124	7926
9124	9870
4046	6610
3409	1044
3409	1186
3409	2741
3409	2980
3409	7956
3409	9800
8916	2591
8916	8932
8916	9188
8916	9572
8916	9773
2949	3839
2949	4743
7042	9269
284	6427
6427	284
1044	3409
1044	5809
1044	9485
5809	1044
811	6468
811	9964
7689	1620
7689	3310
7689	3909
7689	3922
7689	4624
7689	5107
7689	5346
7689	5555
7689	5564
7689	5993
7689	6468
7689	7459
7689	9133
7689	9572
7689	9895
7689	9907
7504	2081
7504	2664
7504	3593
7504	5107
7504	9829
1545	5107
1545	7007
1545	8547
5729	3916
5729	5352
1310	2922
1310	4493
1310	7926
1310	9124
1310	9870
9710	743
9710	3345
9710	3430
7007	888
7007	1403
